SKU,Item_Name,Item_Category,Unit_of_Measure,Avg_Unit_Cost_Base,Supplier_Lead_Time_Days,Min_Order_Quantity,Shelf_Life_Days
SKU1000,Beverage_Purpose_Litre,Beverage_Soft_Cola,Litre,114.48,3,1,309
SKU1001,Seafood_Brother_Litre,Seafood_Fish,Litre,75.05,10,1,9
SKU1002,Produce_Ago_Bag_5KG,Produce_Fruit_Berry,Bag_5KG,25.47,5,1,6
SKU1003,Bakery_Site_Box_10KG,Bakery_Pastry,Box_10KG,221.9,2,5,3
SKU1004,Dairy_Face_Bottle_330ml,Dairy_Milk,Bottle_330ml,28.76,13,12,6
SKU1005,Meat_Election_Case_24,Meat_Pork,Case_24,243.68,5,5,180
SKU1006,Meat_Dog_Dozen,Meat_Beef,Dozen,9.68,1,6,9
SKU1007,Beverage_Chair_Box_10KG,Beverage_Water_Still,Box_10KG,78.51,2,5,267
SKU1008,Meat_Since_Bottle_750ml,Meat_Beef,Bottle_750ml,21.7,2,24,4
SKU1009,Dairy_Blue_Bottle_330ml,Dairy_Yogurt,Bottle_330ml,12.71,2,48,8
SKU1010,Produce_Require_Bottle_330ml,Produce_Fruit_Tropical,Bottle_330ml,6.87,2,6,16
SKU1011,Produce_Sit_Each,Produce_Fruit_Berry,Each,15.6,3,48,9
SKU1012,Beverage_Wait_Bag_5KG,Beverage_Soft_Cola,Bag_5KG,95.94,3,5,295
SKU1013,Beverage_Offer_KG,Beverage_Alcoholic_Wine_White,KG,65.59,13,5,1825
SKU1014,Produce_Begin_Litre,Produce_Veg_Leafy,Litre,13.2,2,5,8
SKU1015,Dairy_Performance_Dozen,Dairy_Yogurt,Dozen,8.07,2,12,7
SKU1016,Dry_Knowledge_Bag_5KG,Dry_Goods_Pasta,Bag_5KG,114.28,5,10,180
SKU1017,Dry_Almost_Pack_6,Dry_Goods_Oil,Pack_6,32.62,2,24,180
SKU1018,Seafood_All_Bag_5KG,Seafood_Fish,Bag_5KG,18.94,1,20,4
SKU1019,Seafood_Better_Each,Seafood_Fish,Each,18.45,4,48,4
SKU1020,Bakery_Discover_Bag_5KG,Bakery_Pastry,Bag_5KG,63.46,1,10,3
SKU1021,Dry_Early_Bottle_330ml,Dry_Goods_Pasta,Bottle_330ml,36.51,1,24,180
SKU1022,Seafood_Mouth_Dozen,Seafood_Shellfish,Dozen,27.01,5,6,7
SKU1023,Dry_Play_Litre,Dry_Goods_Rice,Litre,66.25,5,10,180
SKU1024,Seafood_Agreement_Case_24,Seafood_Fish,Case_24,78.82,5,1,3
SKU1025,Poultry_Option_Litre,Poultry,Litre,94.81,21,10,7
SKU1026,Dry_Decide_Litre,Dry_Goods_Oil,Litre,108.22,4,1,180
SKU1027,Beverage_Sense_Bag_5KG,Beverage_Alcoholic_Wine_White,Bag_5KG,111.25,15,5,1825
SKU1028,Seafood_Rate_Bottle_330ml,Seafood_Shellfish,Bottle_330ml,9.05,5,48,6
SKU1029,Beverage_Science_Bottle_750ml,Beverage_Alcoholic_Beer,Bottle_750ml,14.03,3,24,222
SKU1030,Dry_Offer_Dozen,Dry_Goods_Rice,Dozen,11.95,2,6,180
SKU1031,Dairy_Kind_KG,Dairy_Milk,KG,47.96,17,5,6
SKU1032,Meat_Discussion_Bottle_750ml,Meat_Beef,Bottle_750ml,22.39,10,6,3
SKU1033,Produce_List_Dozen,Produce_Veg_Leafy,Dozen,32.38,5,12,5
SKU1034,Produce_Perform_Dozen,Produce_Fruit_Berry,Dozen,39.5,13,48,6
SKU1035,Dairy_Fall_Pack_6,Dairy_Cheese,Pack_6,9.15,1,48,14
SKU1036,Beverage_Table_Litre,Beverage_Soft_Cola,Litre,99.33,3,1,223
SKU1037,Meat_True_Bottle_750ml,Meat_Pork,Bottle_750ml,29.57,2,12,180
SKU1038,Seafood_According_Pack_6,Seafood_Fish,Pack_6,4.35,4,12,7
SKU1039,Frozen_Song_Litre,Frozen_Goods,Litre,20.98,17,20,180
SKU1040,Dry_Sure_KG,Dry_Goods_Pasta,KG,77.81,2,1,180
SKU1041,Dry_Collection_Dozen,Dry_Goods_Flour,Dozen,3.95,4,12,180
SKU1042,Seafood_Save_Pack_6,Seafood_Shellfish,Pack_6,14.02,3,6,9
SKU1043,Beverage_Knowledge_Dozen,Beverage_Alcoholic_Spirit,Dozen,26.05,18,24,1825
SKU1044,Beverage_Grow_Bag_5KG,Beverage_Alcoholic_Spirit,Bag_5KG,60.89,10,20,1825
SKU1045,Meat_Fall_Box_10KG,Meat_Beef,Box_10KG,189.78,16,10,3
SKU1046,Dry_Clearly_Bag_5KG,Dry_Goods_Flour,Bag_5KG,70.86,1,5,180
SKU1047,Meat_Dinner_Each,Meat_Lamb,Each,20.51,2,6,4
SKU1048,Dates_Source_Box_10KG,Dates_Sweets,Box_10KG,129.78,5,1,180
SKU1049,Dry_Great_Litre,Dry_Goods_Spice,Litre,20.08,5,20,180
